starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 15:51:55 2024	1705675915	33	94	127	93
Fri Jan 19 15:51:58 2024	1705675918	31	97	128	96
Fri Jan 19 15:51:57 2024	1705675917	25	103	128	99
Fri Jan 19 15:51:53 2024	1705675913	25	104	128	102
Fri Jan 19 15:52:00 2024	1705675920	32	96	128	96
Fri Jan 19 15:51:56 2024	1705675916	34	95	129	91
Fri Jan 19 15:52:00 2024	1705675920	27	102	129	101
Fri Jan 19 15:51:58 2024	1705675918	28	101	129	101
Fri Jan 19 15:51:58 2024	1705675918	32	97	129	97
Fri Jan 19 15:51:56 2024	1705675916	33	97	130	94
Fri Jan 19 15:51:53 2024	1705675913	28	103	130	101
Fri Jan 19 15:51:53 2024	1705675913	23	108	131	104
Fri Jan 19 15:51:53 2024	1705675913	28	103	131	100
Fri Jan 19 15:51:51 2024	1705675911	29	103	132	102
Fri Jan 19 15:51:58 2024	1705675918	32	100	132	99
Fri Jan 19 15:52:00 2024	1705675920	37	96	133	96
Fri Jan 19 15:51:58 2024	1705675918	35	98	133	97
Fri Jan 19 15:51:52 2024	1705675912	23	110	133	106
Fri Jan 19 15:52:00 2024	1705675920	32	100	133	100
Fri Jan 19 15:51:58 2024	1705675918	31	102	133	101
Fri Jan 19 15:51:58 2024	1705675918	28	105	133	105
Fri Jan 19 15:51:54 2024	1705675914	35	99	134	96
Fri Jan 19 15:51:58 2024	1705675918	34	101	134	100
Fri Jan 19 15:51:58 2024	1705675918	34	101	135	100
Fri Jan 19 15:51:58 2024	1705675918	29	106	135	106
Fri Jan 19 15:51:57 2024	1705675917	28	107	135	100
Fri Jan 19 15:51:55 2024	1705675915	26	110	136	104
Fri Jan 19 15:51:58 2024	1705675918	30	107	137	105
Fri Jan 19 15:51:59 2024	1705675919	32	106	137	103
Fri Jan 19 15:51:55 2024	1705675915	17	121	138	120
Fri Jan 19 15:51:59 2024	1705675919	42	96	138	94
Fri Jan 19 15:51:57 2024	1705675917	28	111	138	107
Fri Jan 19 15:51:55 2024	1705675915	26	113	139	110
Fri Jan 19 15:51:54 2024	1705675914	33	108	141	106
Fri Jan 19 15:51:53 2024	1705675913	33	108	142	107
Fri Jan 19 15:51:58 2024	1705675918	38	105	142	104
Fri Jan 19 15:51:57 2024	1705675917	30	114	144	112
Fri Jan 19 15:52:01 2024	1705675921	33	111	144	111
Fri Jan 19 15:51:54 2024	1705675914	35	110	145	108
Fri Jan 19 15:51:55 2024	1705675915	32	113	145	104
Fri Jan 19 15:51:55 2024	1705675915	35	113	148	111
Fri Jan 19 15:51:52 2024	1705675912	27	124	150	121
Fri Jan 19 15:51:51 2024	1705675911	48	103	151	103
Fri Jan 19 15:51:51 2024	1705675911	30	121	151	121
Fri Jan 19 15:51:51 2024	1705675911	35	118	152	117
Fri Jan 19 15:51:51 2024	1705675911	34	118	152	117
Fri Jan 19 15:51:51 2024	1705675911	36	118	153	118
Fri Jan 19 15:51:55 2024	1705675915	28	125	153	123
Fri Jan 19 15:51:52 2024	1705675912	29	126	155	124
Fri Jan 19 15:51:51 2024	1705675911	35	122	157	122
Fri Jan 19 15:51:55 2024	1705675915	34	127	161	125
Fri Jan 19 15:51:52 2024	1705675912	25	136	161	134
Fri Jan 19 15:51:55 2024	1705675915	30	132	162	125
Fri Jan 19 15:51:55 2024	1705675915	30	133	163	115
Fri Jan 19 15:51:52 2024	1705675912	33	131	163	131
Fri Jan 19 15:51:52 2024	1705675912	21	147	168	142
Fri Jan 19 15:51:55 2024	1705675915	32	139	170	120
Fri Jan 19 15:51:52 2024	1705675912	27	147	174	123
Fri Jan 19 15:51:52 2024	1705675912	32	152	184	142
Fri Jan 19 15:51:52 2024	1705675912	24	169	193	165
Fri Jan 19 15:51:52 2024	1705675912	33	175	207	172
