starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 15:51:52 2024	1705675912	33	67	100	66
Fri Jan 19 15:52:01 2024	1705675921	21	80	100	78
Fri Jan 19 15:51:54 2024	1705675914	36	65	100	63
Fri Jan 19 15:51:59 2024	1705675919	36	64	100	63
Fri Jan 19 15:51:56 2024	1705675916	32	68	100	68
Fri Jan 19 15:52:01 2024	1705675921	28	72	100	71
Fri Jan 19 15:52:01 2024	1705675921	23	77	100	74
Fri Jan 19 15:51:56 2024	1705675916	29	71	100	68
Fri Jan 19 15:51:59 2024	1705675919	31	70	100	69
Fri Jan 19 15:51:52 2024	1705675912	32	69	100	68
Fri Jan 19 15:51:56 2024	1705675916	32	68	100	67
Fri Jan 19 15:51:52 2024	1705675912	27	73	101	71
Fri Jan 19 15:51:58 2024	1705675918	27	74	101	72
Fri Jan 19 15:51:55 2024	1705675915	28	72	101	72
Fri Jan 19 15:52:01 2024	1705675921	29	71	101	71
Fri Jan 19 15:51:54 2024	1705675914	32	68	101	68
Fri Jan 19 15:51:59 2024	1705675919	29	72	101	72
Fri Jan 19 15:51:53 2024	1705675913	24	77	101	74
Fri Jan 19 15:51:57 2024	1705675917	30	71	101	69
Fri Jan 19 15:52:00 2024	1705675920	27	74	101	72
Fri Jan 19 15:51:52 2024	1705675912	34	67	101	66
Fri Jan 19 15:51:53 2024	1705675913	29	72	101	70
Fri Jan 19 15:52:01 2024	1705675921	26	75	101	74
Fri Jan 19 15:51:57 2024	1705675917	27	74	101	72
Fri Jan 19 15:51:59 2024	1705675919	35	66	101	65
Fri Jan 19 15:51:54 2024	1705675914	29	72	101	69
Fri Jan 19 15:51:58 2024	1705675918	22	78	101	76
Fri Jan 19 15:51:55 2024	1705675915	32	69	101	68
Fri Jan 19 15:52:00 2024	1705675920	21	80	101	78
Fri Jan 19 15:51:53 2024	1705675913	27	74	101	70
Fri Jan 19 15:51:58 2024	1705675918	34	67	101	66
Fri Jan 19 15:51:56 2024	1705675916	33	68	101	66
Fri Jan 19 15:51:52 2024	1705675912	26	75	101	73
Fri Jan 19 15:51:59 2024	1705675919	33	68	101	68
Fri Jan 19 15:52:00 2024	1705675920	30	71	101	71
